order_id;employee_id;order_items;cost;order_time
0;928006235;{chicken tenders,chicken tenders,chicken tenders,honey mustard,tater tots,buns,beef,lettuce,onions,tomatoes,cheddar cheese,chicken tenders,chicken tenders,chicken tenders,honey mustard,buns,crispy chicken,buns,beef,lettuce,onions,tomatoes,fountain drink,honey mustard,ranch,french fries,chicken tenders,gig em sauce,spicey ranch,tater tots,fountain drink,fountain drink,bacon,beef,avocado,bbq sauce,fountain drink,fountain drink};49.85999999999999;09/12/2022
1;229000879;{tater tots,buns,beef,lettuce,onions,tomatoes,cheddar cheese,fountain drink,chicken tenders,chicken tenders,chicken tenders,honey mustard,buns,beef,lettuce,onions,tomatoes,buns,grilled chicken,pepperjack cheese,buns,beef,lettuce,onions,tomatoes,buns,crispy chicken,chicken tenders,chicken tenders,chicken tenders,honey mustard,buns,beef,lettuce,onions,tomatoes,cheddar cheese,fountain drink,fountain drink,fountain drink,fountain drink,fountain drink,fountain drink,fountain drink,fountain drink};64.11999999999998;09/12/2022
2;529006731;{buns,chipotle,lettuce,onions,tomatoes,swiss cheese,bacon,buns,beef,lettuce,onions,tomatoes,cheddar cheese,fountain drink,buns,beef,lettuce,onions,tomatoes,cheddar cheese,chicken tenders,chicken tenders,chicken tenders,honey mustard,fountain drink,fountain drink,fountain drink};35.72;09/12/2022
3;928006887;{buns,beef,lettuce,onions,tomatoes,cheddar cheese,buns,grilled chicken,pepperjack cheese,fountain drink,buns,beef,lettuce,onions,tomatoes,cheddar cheese,buns,beef,lettuce,onions,tomatoes,chicken tenders,chicken tenders,chicken tenders,honey mustard,buns,chipotle,lettuce,onions,tomatoes,swiss cheese,bacon,fountain drink,fountain drink,fountain drink,fountain drink,fountain drink};45.679999999999986;09/12/2022
4;229000879;{buns,beef,lettuce,onions,tomatoes,cheddar cheese,fountain drink};10.78;09/12/2022
5;229000879;{fountain drink,buns,beef,lettuce,onions,tomatoes,cheddar cheese,chicken tenders,chicken tenders,chicken tenders,honey mustard,fountain drink,fountain drink};16.05;09/12/2022
6;928006887;{fountain drink,fountain drink};4.38;09/12/2022
7;229000879;{buns,crispy chicken,chicken tenders,chicken tenders,chicken tenders,honey mustard,buns,beef,lettuce,onions,tomatoes,cheddar cheese,buns,beef,lettuce,onions,tomatoes,cheddar cheese,buns,beef,lettuce,onions,tomatoes,cheddar cheese,lettuce,hard boiled eggs,croutons,bacon,grape tomatoes,carrots,buns,beef,lettuce,onions,tomatoes,cheddar cheese,french fries,buns,beef,lettuce,onions,tomatoes,chicken tenders,chicken tenders,chicken tenders,honey mustard,chicken tenders,chicken tenders,chicken tenders,honey mustard,fountain drink,fountain drink,cheddar cheese,fountain drink,fountain drink,fountain drink,fountain drink,fountain drink,fountain drink,fountain drink,fountain drink};80.69;09/12/2022
8;229000879;{buns,crispy chicken,chicken tenders,chicken tenders,chicken tenders,honey mustard,buns,beef,lettuce,onions,tomatoes,cheddar cheese,buns,beef,lettuce,onions,tomatoes,cheddar cheese,buns,beef,lettuce,onions,tomatoes,cheddar cheese,chicken tenders,chicken tenders,chicken tenders,honey mustard,buns,grilled chicken,bacon,cheddar cheese,avocado,lettuce,hard boiled eggs,croutons,bacon,grape tomatoes,carrots,fountain drink,fountain drink,fountain drink,fountain drink,fountain drink,fountain drink};64.86;09/12/2022
9;928006887;{chicken tenders,chicken tenders,chicken tenders,honey mustard,buns,chipotle,lettuce,onions,tomatoes,swiss cheese,bacon,buns,grilled chicken,pepperjack cheese,buns,grilled chicken,bacon,cheddar cheese,avocado,buns,beef,lettuce,onions,tomatoes,cheddar cheese,buns,grilled chicken,bacon,cheddar cheese,avocado,fountain drink,fountain drink,fountain drink,fountain drink,fountain drink};46.78999999999999;09/12/2022
